"","7.buy.reason.other"
"1",NA
"2","Nanunua mbuzi/kondoo na kuchinja hapa mnadani kwa ajili ya kuuza nyama"
"3","Nimekuja kuuza"
"4","Nanunua na kuuza hapa mnadani"
"5","Nanunua na kuwauzia wengine kwa bei tofauti na niliyonunua"
"6","Nanunua na kuuza hapahapa"
"7","Nanunua kwaajili yamkuuza hapa mnadani"
"8","Kutoa mahali"
"9","Kwa ajili ya sherehe"
"10","Kubadilisha kijjini  na kuku"
"11","Nanunua na kuuza  tu"
"12","Galagaja"
"13","Nauza kwa wanaochinja"
"14","Kuchinja kwa ajili ya supu"
"15","Nauza"
"16","Nauza kwa matumiz ya nyumbani"
"17","Nauza mimi"
"18","Nauza labda wakibaki nitarudi nao nyumbani"
"19","Nauza mifugo yangu"
"20","Ana mtaji mdogo"
"21","Kuongeza kipato"
"22","Mboga kwa wageni, sherehe"
"23","Anafanya udalali kupata kipato ili kujikimu kimaisha"
"24","Sherehe"
"25","Akiba"
"26","Kupatanisha bei kati ya mteja na mfugaji"
"27","Kununua na kuuza mbuzi na kondoo"
"28","Chakula Cha wageni nyumbani kwa shughuli za matambiko"
"29","Mboga ya sherehe ya harusi"
"30","Kuchinja kwa ajili ya kuuza supu"
"31","Dawa za kienyeji"
"32","Kuzungusha pesa yake kwa kuuza na kununua mbuzi na kondoo ili kuongeza kipato"
"33","Kufanya mzunguko wa pesa yaani ananunua na kuuza kwa bei ya juu kuliko aiyonunulia."
"34","Ni ufahari kuwa na mifugo mingi"
"35","Kuchinja kwa ajili ya zoazoa"
"36","Yeye hanunui"
"37","Kwa ajili ya kuuza. Ananunua toka wa mfugaji aliyeleta mnadani"
"38","Kuhifadhi ili kuuza baadae kupata fedha za kutumia"
"39","Kuzungusha pesa ili kuongeza kipato."
"40","Amenunua ili awauze tena kwa ajili ya kuongeza kipato"
"41","Kuongeza kipato chake baada ya kuwauza, lakini pia kuongeza idadi ya mifugo yake iwapo atawapenda na kwenda kuwafuga  nyumbani."
"42","Kufanya mzunguko wa pesa yake ili kuongeza kipato."
"43","Kufanya mzunguko wa pesa yake"
"44","Madume ya kulimia"
"45","Kuuza nyama choma"
"46","Kuchinja kwa ajili ya  kuuza nyama choma"
"47","Uuzaji wa supu na nyama choma"
"48","Benji( akiba)"
"49","Akiba, ufahari wa kuwa na mifugo mingi"
"50","Akiba ( benki ya mifugo)"
"51","Kwa ajili ya matambiko"
"52","Kununua mifugo, kuchinja na kuuza nyama choma mnadani"
"53","Kuuza kuongeza kipato"
"54","Nanunua kwa bei ndogo ili nipate faida"
"55","Anachinja law ajili ya kufanya biashara ya chakula (mama lishe)"
"56","Kwa ajili ya kuuza nyama choma"
"57","Ananunua ili awauze tena hapa hapa mnadani."
"58","Kufanya udalali ili nipate kipato kidogo cha kujikimu"
"59","Matambiko"
"60","Nanunua mnadani  nakuuza mnadani"
"61","Kuchinja na kuuza nyama choma"
"62","Matumizi ya familia kwenye sherehe"
"63","Nimenunua ili kupata beberu zuri kwa ajili ya mbegu"
"64","Kwa ajili ya tambiko"
"65","Kuongeza kipato cha familia"
"66","Sababu ya msingi ya kununua ni ili kuwauza tena kwa bei ya juu ili apate faida"
"67","Sababu ya kununua mbuzi na kondoo ni ili kuja kuwauza tena hapa mnadani."
"68","Ananunua ili kuwauza tena kwa wanunuzi wengine."
"69","Shughuli za kijamii"
