"","3.sell.reason.other"
"1",NA
"2","Kuuza kama nyama"
"3","Kuuza nyama"
"4","Kununua nbuzi/kondoo na kuwapeleka kiwandani Kibaha"
"5","Nakuja kuuza kwaajili ya kupata ela ya kununua mbolea kwaajili ya kilimo"
"6","Wakati mwingine nanunua na kuuza hapahapa"
"7","Nauza na badilisha na ngombe"
"8","Kwaajili ya mbolea"
"9","Kununua na kuchinja"
"10","Kupunguza idadi"
"11","Kuchinja"
"12","Nafuga"
"13","Kichinja"
"14","Kulima mashamba"
"15","Nachinja"
"16","Ujenzi wa nyumba"
"17","Kununulia vifaa vya shule wanafunzi"
"18","Kupata kipato kwa kudalali mifugo"
"19","Kuchinja na kuuza nyama"
"20","Nyamachoma"
"21","Mgahawa"
"22","Nataka kupata hela ya matumizi"
"23","Kununua shamba"
"24","Kuuza Kama nyamachoma"
"25","Nanunua nachinja"
"26","Kununua mazao"
"27","Kununua ndingu ya kulimia"
"28","Kulipia mahari"
"29","Anachinja na kuuza supu"
"30","Kuchinja kwa ajili ya kuuza supu"
"31","Ndio kazi yangu"
"32","Niwasilisha michango kanisani"
"33","Kutatua matatizo"
"34","Kukidhi mahitaji ya kifamilia."
"35","Anauza ili Kutatua matatizo ya kifamilia."
"36","Kutatua matatizo ya familia kwa sababu ya hali ngumu ya maisha."
"37","Kupata pesa za kutatua Matatizo yake binafsi."
"38","Nauza nyama china Ili kupata kipato na kununua mahitaji mengine ya familia"
"39","Anadalalia, yeye hawanunui wala kuuza bali anapatanisha bei"
"40","Kwasababu ya mahitaji ya nyumbani"
"41","Amewanunua kwa ajili ya biashara"
"42","Kuongeza kipato"
"43","Kuongeza kipato cha kaya"
"44","Anauza kondoo na mbuzi  aliowanunua ili kuongeza kipato"
"45","Kwa ajili ya  kufanya mzunguko wa pesa yake."
"46","Kupunguza idadi ya mifugo iliyo na umri mkubwa( waliochoka kuzaa)"
"47","Kufanya biashara kukuza kipato chake"
"48","Kilimo"
"49","Kununua na kuuza mbuzi na kondoo"
"50","Anauza kukidhi shida mbali mbali"
"51","Kununua sijaja kuuza"
"52","Nimekuja kununua leo"
"53","Nanunua kondoo ili kupata mafuta ya kutumia kwa mama aliyejifungua"
"54","Kuchinja ili kupata fedha"
"55","Nasaidia kuuza au kununua na napata faida"
"56","Anaununua"
"57","Hauzi mbuzi bali ananunua kwa ajili ya kuuza supu na chakula"
"58","Mahitaji mbali mbali ya kifamilia"
"59","Hawauzi, amewanunua kwa ajili ya biashara"
"60","Siuzi mifugo ila nafanya udalali"
"61","Kununua mifugo na kuuza nyama choma"
"62","Kuchinja  na kuuza nyama"
"63","Ananunua kwa wafugaji mnadani na kuuza kwa wafanyabiashara wengine"
"64","Anahamia Lindi hivyo anauza kondoo na mbuzi wote"
"65","Kwa sababu ya kupata pesa ya kununua mahitaji ya kifamilia."
